id,created_at,text
799397710759686144,2016-11-17 23:44:00,"Partial light rail closures on Sat 11/19 &amp; Sun 11/20 for Lines C, D, E &amp; H.  See details at https://t.co/RdpkniaXQz"
799329261102436352,2016-11-17 19:12:01,"Brrr! Winter has arrived, finally! Be careful with winter wear. Don't let your scarf unwrap more than you asked for https://t.co/yA1k9INUD5"
799254524896514049,2016-11-17 14:15:02,Share your thoughts about RTD services and policies as part of the 2017 Customer Feedback panel. Apply here:… https://t.co/AH6ykbN82X
799032807297351680,2016-11-16 23:34:01,The Broncos/Chiefs game on Nov 27 has moved to a 6:30pm start. Check the pickup times for BroncosRide at https://t.co/mWUiC5u79E
798670510603309056,2016-11-15 23:34:22,"Med emergency on train at Southmoor causing 15-30 min delays for all E, F &amp; H lines for approx next 60-90 min. Allow additional travel time."
798164334408921088,2016-11-14 14:03:01,Transit Center escalator maintenance at @DENAirport - 6p Tue 11/15 to 4a Wed 11/16. Elevators encouraged. Staff will be on-site to help.
797455917004582912,2016-11-12 15:08:01,Lines E &amp; H will have partial closures Sat 11/12 &amp; Sun 11/13. See details at  https://t.co/RdpkniaXQz
797213318138228737,2016-11-11 23:04:01,Transit Center escalator maintenance at @DENAirport - 9p Fri 11/11 to 4a Sun 11/13. Elevators encouraged. Staff will be on-site to help.
796742492125335552,2016-11-10 15:53:07,"CU A Line is experiencing delays of 20-30 min due to crossing issues, please allow extra travel time. @DENAirport https://t.co/VYyQlfNGkn"
796714280250994688,2016-11-10 14:01:01,Lines E &amp; H will have partial closures 11/12 &amp; 11/13. See details at  https://t.co/RdpkniaXQz
796425602412773379,2016-11-09 18:53:55,"CU A Line is experiencing delays of 15-40 min due to crossing issues, please allow extra travel time. @DENAirport https://t.co/m695EsgRy0"
796033294722879489,2016-11-08 16:55:01,Holy cow! We just reached 25K safety pledges! The Dumb Ways to Die gang thank you for pledging to be safe around bu… https://t.co/vtFW73Rzqi
794939584887029760,2016-11-05 16:29:00,An emergency preparedness exercise is underway at the Fitzsimons light rail station on the R Line this morning until noon.
794902339857612800,2016-11-05 14:01:01,RTD and first responders are conducting a safety exercise at the Fitzsimons light rail station on the R Line this morning until noon.
794873405640208384,2016-11-05 12:06:02,Lines E &amp; H will have partial closures this weekend 11/5 &amp; 11/6. See details at https://t.co/RdpkniaXQz https://t.co/x8VNUDjRYs
794673112407306240,2016-11-04 22:50:08,Repeat after me: I solemnly swear not to do stupid things around buses &amp; trains. Then hit the red button at… https://t.co/7QPGfTpemb
